# Model Spectrum: Old Kurucz model T = 3500.0 log(g) = 5.00000 z = 0.00
# No ISM extinction
# Normalization: A0V magnitude 9.000000 for filter 2MASS J
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.10250000  2.025074e-30  7.096887e-21
     0.10350000  3.941507e-30  1.408388e-20
     0.10450000  5.965050e-30  2.172831e-20
     0.10550000  6.859946e-30  2.546859e-20
     0.10650000  1.722425e-29  6.516566e-20
     0.10750000  2.584808e-29  9.963789e-20
     0.10850000  5.474420e-29  2.149695e-19
     0.10950000  8.633564e-29  3.453008e-19
     0.11050000  1.243536e-28  5.064797e-19
     0.11150000  2.116290e-28  8.776153e-19
     0.11250000  4.658198e-28  1.966538e-18
     0.11350000  9.278581e-28  3.987058e-18
     0.11450000  1.647095e-27  7.202924e-18
     0.11550000  2.685842e-27  1.195154e-17
     0.11650000  3.846403e-27  1.741350e-17
     0.11750000  7.179780e-27  3.306482e-17
     0.11850000  9.532890e-27  4.465196e-17
     0.11950000  1.303295e-26  6.208089e-17
     0.12050000  1.333900e-26  6.460656e-17
     0.12150000  3.946670e-27  1.943402e-17
     0.12250000  2.601427e-26  1.302156e-16
     0.12350000  6.957633e-26  3.539767e-16
     0.12450000  1.052677e-25  5.442682e-16
     0.12550000  1.635603e-25  8.592996e-16
     0.12650000  2.253857e-25  1.203058e-15
     0.12750000  3.155874e-25  1.711273e-15
     0.12850000  3.755919e-25  2.068720e-15
     0.12950000  4.814815e-25  2.693385e-15
     0.13050000  7.470020e-25  4.243479e-15
     0.13150000  9.492696e-25  5.475457e-15
     0.13250000  1.196070e-24  7.004344e-15
     0.13350000  1.416261e-24  8.419476e-15
     0.13450000  2.025344e-24  1.222145e-14
     0.13550000  2.813743e-24  1.723226e-14
     0.13650000  3.247911e-24  2.018593e-14
     0.13750000  3.531013e-24  2.226814e-14
     0.13850000  4.375119e-24  2.799424e-14
     0.13950000  5.126431e-24  3.327690e-14
     0.14050000  7.194079e-24  4.737041e-14
     0.14150000  9.419480e-24  6.290992e-14
