#Order, x, y, width
1 0 92.51855651900831 nan
1 1 92.47432199722535 nan
1 2 92.43022050212069 nan
1 3 92.38624758531381 nan
1 4 92.34239888817815 20.0
1 5 92.29867014063838 20.0
1 6 92.25505715997913 20.0
1 7 92.21155584966513 20.0
1 8 92.16816219817255 20.0
1 9 92.12487227783166 20.0
1 10 92.08168224368046 20.0
1 11 92.03858833232957 20.0
1 12 91.9955868608379 20.0
1 13 91.95267422559938 20.0
1 14 91.9098469012404 20.0
1 15 91.86710143952804 20.0
1 16 91.82443446828901 20.0
1 17 91.7818426903391 20.0
1 18 91.7393228824233 20.0
1 19 91.6968718941661 20.0
1 20 91.65448664703253 20.0
1 21 91.61216413329922 20.0
1 22 91.56990141503572 19.0
1 23 91.52769562309614 19.0
1 24 91.4855439561207 19.0
1 25 91.44344367954736 19.0
1 26 91.40139212463339 19.0
1 27 91.3593866874868 19.0
1 28 91.31742482810758 20.0
1 29 91.27550406943857 20.0
1 30 91.23362199642617 20.0
1 31 91.19177625509049 20.0
1 32 91.14996455160501 20.0
1 33 91.10818465138583 20.0
1 34 91.06643437819008 20.0
1 35 91.02471161322384 20.0
1 36 90.98301429425922 20.0
1 37 90.94134041476056 20.0
1 38 90.89968802301979 20.0
1 39 90.85805522130092 20.0
1 40 90.81644016499327 20.0
1 41 90.77484106177384 20.0
1 42 90.73325617077838 20.0
1 43 90.69168380178128 20.0
1 44 90.65012231438419 20.0
1 45 90.6085701172132 20.0
1 46 90.56702566712471 19.0
1 47 90.52548746841974 22.0
1 48 90.48395407206668 19.0
1 49 90.44242407493252 20.0
1 50 90.40089611902226 19.0
1 51 90.35936889072671 18.0
1 52 90.31784112007844 19.0
1 53 90.27631158001584 20.0
1 54 90.23477908565526 20.0
1 55 90.19324249357122 20.0
1 56 90.1517007010845 20.0
1 57 90.11015264555813 20.0
1 58 90.06859730370128 20.0
1 59 90.0270336908808 20.0
1 60 89.98546086044058 20.0
1 61 89.94387790302846 20.0
1 62 89.90228394593086 20.0
1 63 89.86067815241476 20.0
1 64 89.81905972107734 20.0
1 65 89.77742788520287 20.0
1 66 89.7357819121271 20.0
1 67 89.69412110260882 20.0
1 68 89.65244479020875 20.0
1 69 89.61075234067559 19.0
1 70 89.56904315133913 19.0
1 71 89.52731665051057 19.0
1 72 89.48557229688969 19.0
1 73 89.44380957897909 19.0
1 74 89.40202801450529 19.0
1 75 89.36022714984675 19.0
1 76 89.31840655946847 20.0
1 77 89.27656584536365 20.0
1 78 89.2347046365017 20.0
1 79 89.19282258828316 20.0
1 80 89.15091938200099 20.0
1 81 89.10899472430846 20.0
1 82 89.0670483466936 20.0
1 83 89.02508000495983 20.0
1 84 88.98308947871328 20.0
1 85 88.94107657085607 20.0
1 86 88.89904110708609 20.0
1 87 88.85698293540295 20.0
1 88 88.81490192561999 20.0
1 89 88.77279796888249 20.0
1 90 88.73067097719186 20.0
1 91 88.68852088293598 19.0
1 92 88.64634763842521 19.0
1 93 88.60415121543467 19.0
1 94 88.56193160475203 19.0
1 95 88.51968881573137 19.0
1 96 88.4774228758526 19.0
1 97 88.43513383028673 19.0
1 98 88.39282174146669 19.0
1 99 88.35048668866386 20.0
1 100 88.30812876757008 20.0
1 101 88.2657480898852 20.0
1 102 88.22334478291009 20.0
1 103 88.18091898914514 20.0
1 104 88.13847086589402 20.0
1 105 88.09600058487283 20.0
1 106 88.05350833182452 20.0
1 107 88.01099430613858 20.0
1 108 87.96845872047588 20.0
1 109 87.92590180039856 20.0
1 110 87.88332378400527 20.0
1 111 87.8407249215712 20.0
1 112 87.79810547519324 20.0
1 113 87.75546571844015 20.0
1 114 87.7128059360075 20.0
1 115 87.6701264233777 19.0
1 116 87.62742748648458 19.0
1 117 87.58470944138307 21.0
1 118 87.54197261392339 19.0
1 119 87.49921733943005 19.0
1 120 87.45644396238548 19.0
1 121 87.41365283611829 19.0
1 122 87.37084432249613 19.0
1 123 87.328018791623 19.0
1 124 87.28517662154118 20.0
1 125 87.24231819793752 20.0
1 126 87.1994439138541 21.0
1 127 87.15655416940342 21.0
1 128 87.11364937148777 21.0
1 129 87.07072993352297 20.0
1 130 87.02779627516628 20.0
1 131 86.98484882204865 20.0
1 132 86.94188800551099 20.0
1 133 86.89891426234469 20.0
1 134 86.85592803453615 20.0
1 135 86.81292976901544 20.0
1 136 86.76991991740887 20.0
1 137 86.72689893579566 19.0
1 138 86.68386728446845 19.0
1 139 86.64082542769775 19.0
1 140 86.59777383350024 19.0
1 141 86.55471297341094 19.0
1 142 86.5116433222591 19.0
1 143 86.46856535794787 19.0
1 144 86.4254795612377 19.0
1 145 86.38238641553339 19.0
1 146 86.33928640667483 19.0
1 147 86.2961800227313 20.0
1 148 86.25306775379936 20.0
1 149 86.20995009180417 20.0
1 150 86.16682753030463 20.0
1 151 86.12370056430153 20.0
1 152 86.0805696900495 20.0
1 153 86.03743540487218 20.0
1 154 85.9942982069808 20.0
1 155 85.95115859529608 20.0
1 156 85.90801706927336 20.0
1 157 85.86487412873115 20.0
1 158 85.82173027368272 20.0
1 159 85.77858600417102 20.0
1 160 85.73544182010669 20.0
1 161 85.69229822110917 26.0
1 162 85.64915570635102 19.0
1 163 85.60601477440521 19.0
1 164 85.56287592309542 19.0
1 165 85.5197396493494 19.0
1 166 85.4766064490553 20.0
1 167 85.43347681692084 19.0
1 168 85.39035124633556 19.0
1 169 85.3472302292357 19.0
1 170 85.30411425597217 19.0
1 171 85.26100381518114 20.0
1 172 85.2178993936575 20.0
1 173 85.17480147623111 20.0
1 174 85.13171054564562 20.0
1 175 85.08862708244015 20.0
1 176 85.04555156483353 20.0
1 177 85.0024844686112 20.0
1 178 84.95942626701469 20.0
1 179 84.91637743063372 20.0
1 180 84.87333842730077 20.0
1 181 84.83030972198827 20.0
1 182 84.7872917767082 20.0
1 183 84.74428505041409 20.0
1 184 84.70128999890566 19.0
1 185 84.6583070747356 19.0
1 186 84.61533672711896 19.0
1 187 84.57237940184467 19.0
1 188 84.52943554118961 19.0
1 189 84.48650558383478 19.0
1 190 84.44358996478385 19.0
1 191 84.40068911528385 19.0
1 192 84.35780346274824 19.0
1 193 84.31493343068195 19.0
1 194 84.27207943860877 19.0
1 195 84.22924190200081 19.0
1 196 84.18642123220997 20.0
1 197 84.14361783640166 20.0
1 198 84.1008321174905 20.0
1 199 84.05806447407801 20.0
1 200 84.01531530039236 20.0
1 201 83.97258498623015 20.0
1 202 83.92987391690004 20.0
1 203 83.8871824731684 20.0
1 204 83.84451103120678 20.0
1 205 83.80185996254144 20.0
1 206 83.75922963400454 20.0
1 207 83.71662040768724 20.0
1 208 83.67403264089474 19.0
1 209 83.63146668610287 19.0
1 210 83.5889228909167 19.0
1 211 83.54640159803073 19.0
1 212 83.50390314519078 19.0
1 213 83.46142786515779 19.0
1 214 83.41897608567307 19.0
1 215 83.37654812942527 19.0
1 216 83.33414431401911 18.0
1 217 83.2917649519455 19.0
1 218 83.24941035055345 19.0
1 219 83.2070808120234 19.0
1 220 83.16477663334226 20.0
1 221 83.12249810627972 19.0
1 222 83.08024551736638 20.0
1 223 83.03801914787309 20.0
1 224 82.99581927379191 20.0
1 225 82.95364616581845 20.0
1 226 82.91150008933568 20.0
1 227 82.869381304399 20.0
1 228 82.82729006572295 20.0
1 229 82.78522662266899 20.0
1 230 82.74319121923483 20.0
1 231 82.70118409404499 19.0
1 232 82.65920548034266 19.0
1 233 82.61725560598288 19.0
1 234 82.57533469342691 19.0
1 235 82.53344295973801 19.0
1 236 82.49158061657819 19.0
1 237 82.44974787020641 19.0
1 238 82.40794492147778 19.0
