#Order, x, y, width
3 0 152.24931704236423 nan
3 1 152.2726406256332 nan
3 2 152.2959497396454 nan
3 3 152.31924475727462 nan
3 4 152.34252605139463 24.0
3 5 152.36579399487923 24.0
3 6 152.38904896060222 24.0
3 7 152.41229132143738 24.0
3 8 152.43552145025848 24.0
3 9 152.45873971993933 25.0
3 10 152.4819465033537 25.0
3 11 152.5051421733754 24.0
3 12 152.52832710287822 25.0
3 13 152.55150166473592 25.0
3 14 152.5746662318223 24.0
3 15 152.59782117701118 24.0
3 16 152.6209668731763 24.0
3 17 152.64410369319148 24.0
3 18 152.6672320099305 24.0
3 19 152.69035219626713 25.0
3 20 152.7134646250752 24.0
3 21 152.73656966922846 25.0
3 22 152.7596677016007 24.0
3 23 152.78275909506576 24.0
3 24 152.80584422249737 25.0
3 25 152.82892345676933 24.0
3 26 152.85199717075542 24.0
3 27 152.87506573732946 24.0
3 28 152.89812952936524 25.0
3 29 152.92118891973652 26.0
3 30 152.94424428131708 24.0
3 31 152.96729598698076 24.0
3 32 152.9903444096013 24.0
3 33 153.0133899220525 24.0
3 34 153.03643289720816 24.0
3 35 153.05947370794206 24.0
3 36 153.082512727128 24.0
3 37 153.10555032763975 24.0
3 38 153.1285868823511 24.0
3 39 153.15162276413585 24.0
3 40 153.17465834586778 24.0
3 41 153.19769400042068 24.0
3 42 153.22073010066833 25.0
3 43 153.24376701948455 24.0
3 44 153.2668051297431 24.0
3 45 153.28984480431777 24.0
3 46 153.31288641608236 25.0
3 47 153.33593033791064 22.0
3 48 153.35897694267643 24.0
3 49 153.38202660325348 23.0
3 50 153.4050796925156 24.0
3 51 153.4281365833366 18.0
3 52 153.4511976485902 24.0
3 53 153.47426326115027 23.0
3 54 153.49733379389056 24.0
3 55 153.52040961968484 25.0
3 56 153.54349111140692 25.0
3 57 153.5665786419306 25.0
3 58 153.58967258412963 24.0
3 59 153.61277331087783 23.0
3 60 153.635881195049 25.0
3 61 153.6589966095169 24.0
3 62 153.6821199271553 25.0
3 63 153.70525152083806 24.0
3 64 153.7283917634389 23.0
3 65 153.75154102783162 22.0
3 66 153.77469968689005 24.0
3 67 153.79786811348794 24.0
3 68 153.82104668049908 24.0
3 69 153.84423576079726 23.0
3 70 153.8674357272563 24.0
3 71 153.89064695274993 23.0
3 72 153.913869810152 24.0
3 73 153.93710467233626 19.0
3 74 153.96035191217652 24.0
3 75 153.98361190254653 24.0
3 76 154.00688501632013 24.0
3 77 154.03017162637107 24.0
3 78 154.05347210557315 24.0
3 79 154.07678682680017 24.0
3 80 154.1001161629259 20.0
3 81 154.12346048682414 23.0
3 82 154.14682017136866 24.0
3 83 154.1701955894333 24.0
3 84 154.19358711389177 24.0
3 85 154.21699511761793 24.0
3 86 154.24041997348553 24.0
3 87 154.26386205436836 24.0
3 88 154.28732173314023 24.0
3 89 154.3107993826749 24.0
3 90 154.33429537584618 21.0
3 91 154.35781008552783 24.0
3 92 154.3813438845937 24.0
3 93 154.40489714591752 24.0
3 94 154.42847024237307 24.0
3 95 154.45206354683418 23.0
3 96 154.47567743217462 23.0
3 97 154.4993122712682 23.0
3 98 154.5229684369887 23.0
3 99 154.54664630220987 23.0
3 100 154.5703462398055 24.0
3 101 154.59406862264944 23.0
3 102 154.61781382361545 23.0
3 103 154.6415822155773 23.0
3 104 154.66537417140879 23.0
3 105 154.6891900639837 24.0
3 106 154.71303026617582 24.0
3 107 154.73689515085897 23.0
3 108 154.7607850909069 24.0
3 109 154.7847004591934 24.0
3 110 154.80864162859228 23.0
3 111 154.83260897197732 23.0
3 112 154.85660286222233 24.0
3 113 154.88062367220104 23.0
3 114 154.9046717747873 23.0
3 115 154.92874754285484 24.0
3 116 154.9528513492775 24.0
3 117 154.97698356692905 24.0
3 118 155.00114456868326 24.0
3 119 155.02533472741396 23.0
3 120 155.0495544159949 24.0
3 121 155.07380400729988 24.0
3 122 155.09808387420267 24.0
3 123 155.12239438957712 24.0
3 124 155.14673592629694 24.0
3 125 155.171108857236 23.0
3 126 155.195513555268 24.0
3 127 155.2199503932668 21.0
3 128 155.24441974410615 23.0
3 129 155.26892198065985 23.0
3 130 155.2934574758017 23.0
3 131 155.31802660240544 23.0
3 132 155.34262973334492 23.0
3 133 155.3672672414939 23.0
3 134 155.39193949972616 23.0
3 135 155.41664688091552 23.0
3 136 155.44138975793575 23.0
3 137 155.4661685036606 23.0
3 138 155.49098349096394 23.0
3 139 155.5158350927195 18.0
3 140 155.54072368180107 23.0
3 141 155.56564963108244 23.0
3 142 155.59061331343742 24.0
3 143 155.6156151017398 23.0
3 144 155.64065536886332 23.0
3 145 155.66573448768185 23.0
3 146 155.6908528310691 23.0
3 147 155.71601077189888 23.0
3 148 155.74120868304502 23.0
3 149 155.76644693738126 23.0
3 150 155.7917259077814 18.0
3 151 155.81704596711924 24.0
3 152 155.84240748826855 23.0
3 153 155.86781084410313 23.0
3 154 155.89325640749678 23.0
3 155 155.9187445513233 24.0
3 156 155.94427564845643 24.0
3 157 155.96985007176997 23.0
3 158 155.99546819413774 23.0
3 159 156.0211303884335 24.0
3 160 156.04683702753107 19.0
3 161 156.0725884843042 26.0
3 162 156.09838513162669 19.0
3 163 156.12422734237234 18.0
3 164 156.15011548941493 23.0
3 165 156.17604994562828 23.0
3 166 156.2020310838861 23.0
3 167 156.22805927706227 23.0
3 168 156.25413489803051 23.0
3 169 156.28025831966465 23.0
3 170 156.30642991483845 18.0
3 171 156.3326500564257 23.0
3 172 156.35891911730022 23.0
3 173 156.3852374703358 23.0
3 174 156.41160548840617 23.0
3 175 156.43802354438515 23.0
3 176 156.46449201114655 23.0
3 177 156.49101126156415 23.0
3 178 156.5175816685117 23.0
3 179 156.54420360486304 23.0
3 180 156.57087744349192 23.0
3 181 156.59760355727218 23.0
3 182 156.62438231907754 23.0
3 183 156.65121410178182 23.0
3 184 156.67809927825883 23.0
3 185 156.70503822138232 23.0
3 186 156.73203130402612 23.0
3 187 156.75907889906398 23.0
3 188 156.7861813793697 23.0
3 189 156.8133391178171 23.0
3 190 156.8405524872799 23.0
3 191 156.86782186063195 23.0
3 192 156.89514761074702 18.0
3 193 156.92253011049888 18.0
3 194 156.94996973276133 18.0
3 195 156.97746685040818 18.0
3 196 157.00502183631318 18.0
3 197 157.03263506335017 19.0
3 198 157.0603069043929 19.0
