Wavelength,xpos,ypos,order
3.7000000000000006,3.2693539293166167,53.150134229285534,1.0
3.8000000000000007,3.215801814587502,54.9681275259311,1.0
3.900000000000001,3.1615576552710767,56.7861037328731,1.0
4.000000000000001,3.106650422170639,58.6040635655314,1.0
4.100000000000001,3.0511049043399354,60.422007636059604,1.0
4.200000000000001,2.9949427317350517,62.2399364785989,1.0
4.300000000000001,2.938183295506556,64.05785057200431,1.0
4.400000000000001,2.880844371369406,65.87575035523847,1.0
4.500000000000002,2.8229422467591614,67.69363623051163,1.0
4.600000000000001,2.7644912348166533,69.5115085512798,1.0
4.700000000000001,2.7055026671094407,71.32936759737055,1.0
4.800000000000002,2.645983837934556,73.147213548913,1.0
4.900000000000002,2.5859379772930544,74.96504648567043,1.0
5.000000000000002,2.5253672139532735,76.78286646021171,1.0
1.55,3.3397807735294123,42.04497632747874,2.0
1.6,3.322231148404786,43.87864991849679,2.0
1.6500000000000001,3.301741420537289,45.712250905111574,2.0
1.7000000000000002,3.2786614678354,47.54578792738739,2.0
1.7500000000000002,3.253290193996113,49.379268366605245,2.0
1.8000000000000003,3.225883545284818,51.212698543233344,2.0
1.8500000000000003,3.19666129231443,53.04608388439978,2.0
1.9000000000000004,3.1658127474871085,54.879429065082,2.0
1.9500000000000004,3.1335015692196286,56.712738126744775,2.0
2.0000000000000004,3.0998697862308635,58.54601457671804,2.0
2.0500000000000007,3.065041158928275,60.37926147120473,2.0
2.1000000000000005,3.0291239801977743,62.2124814844448,2.0
2.1500000000000004,2.9922134045783695,64.04567696623322,2.0
2.2000000000000006,2.954393382806083,65.87884998969244,2.0
2.250000000000001,2.915738267946927,67.7120023909352,2.0
2.3000000000000007,2.876314149726282,69.54513580201498,2.0
2.3500000000000005,2.8361799651189203,71.37825167835166,2.0
2.400000000000001,2.795388425709516,73.21135132163212,2.0
2.450000000000001,2.7539867956940904,75.04443589902264,2.0
2.500000000000001,2.712017548595279,76.8775064593861,2.0
2.5500000000000007,2.669518925734785,78.71056394707333,2.0
2.600000000000001,2.6265254151841604,80.54360921375043,2.0
2.6500000000000012,2.5830681662288617,82.3766430286338,2.0
2.700000000000001,2.5391753512709387,84.20966608742712,2.0
2.750000000000001,2.494872484508471,86.04267902019117,2.0
2.800000000000001,2.450182704603234,87.87568239832386,2.0
2.8500000000000014,2.4051270268222247,89.70867674078697,2.0
2.9000000000000012,2.3597245687976116,91.54166251968108,2.0
2.950000000000001,2.313992752978871,93.37464016524511,2.0
3.0000000000000013,2.267947488096592,95.2076100703374,2.0
3.0500000000000016,2.221603331386136,97.04057259444178,2.0
3.1000000000000014,2.174973632959965,98.87352806723275,2.0
3.1500000000000012,2.128070663507434,100.70647679172896,2.0
3.2000000000000015,2.0809057263890574,102.5394190470615,2.0
3.2500000000000018,2.0334892552054304,104.37235509088293,2.0
3.3000000000000016,1.9858308979493693,106.2052851614458,2.0
3.3500000000000014,1.9379395889620377,108.03820947937926,2.0
3.4000000000000017,1.889823609991351,109.8711282491971,2.0
3.450000000000002,1.8414906417768455,111.70404166057136,2.0
3.5000000000000018,1.7929478076466256,113.53694988940919,2.0
3.5500000000000016,1.7442017106584518,115.36985309876987,2.0
3.600000000000002,1.6952584658457914,117.2027514396612,2.0
3.650000000000002,1.646123729034813,119.03564505175103,2.0
3.700000000000002,1.5968027236655462,120.86853406402965,2.0
